ONET_NAME,SPECIALIZED_OCCUPATION,Python,SQL,Microsoft_Excel,Data_Analysis,Machine_Learning,Power_BI,Tableau,Communication
Business Intelligence Analysts,Business Analyst (General),0,1,1,1,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,1,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,1,0,0
Business Intelligence Analysts,Business Analyst (General),0,1,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,0
Business Intelligence Analysts,Business Intelligence Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Business Intelligence Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,1,0
Business Intelligence Analysts,Business Analyst (General),1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,1
Business Intelligence Analysts,Business Analyst (General),0,1,1,0,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,0
Business Intelligence Analysts,Business Analyst (General),0,0,1,0,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,0,1,0,0,0
Business Intelligence Analysts,Data Analyst,1,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Financial Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Business Intelligence Analyst,0,1,0,0,0,0,1,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,1,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,1,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Financial Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,0,1,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,1,0,0,0,0,1,0
Business Intelligence Analysts,Data Analyst,1,1,0,0,0,0,1,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,1,1,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,0
Business Intelligence Analysts,Business Intelligence Analyst,0,0,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,1,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,1,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Business Analyst (General),1,0,1,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,1,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,1,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,1,0
Business Intelligence Analysts,Financial Data Analyst,0,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,0,0,1,1,0
Business Intelligence Analysts,Business Intelligence Analyst,0,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,1,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Business Intelligence Analyst,1,1,1,0,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,0
Business Intelligence Analysts,Business Analyst (General),0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,1,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,1,0,0,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,0,1,0,0,0
Business Intelligence Analysts,Data Analyst,1,0,0,1,0,1,0,1
Business Intelligence Analysts,Business Intelligence Analyst,1,1,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,0,1,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,1,1,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,1,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,1,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,1,0
Business Intelligence Analysts,Financial Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,1,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,0,0
Business Intelligence Analysts,Financial Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,0,0
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,1,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,1,0,0
Business Intelligence Analysts,Financial Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Financial Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Financial Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Financial Data Analyst,1,1,0,0,1,0,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,1,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,1,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,1,1,1,0,1,0,1
Business Intelligence Analysts,Business Analyst (General),1,1,0,0,1,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,0,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,0
Business Intelligence Analysts,Business Intelligence Analyst,0,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,1,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,1,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,0
Business Intelligence Analysts,Financial Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Financial Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Business Intelligence Analyst,0,1,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,0
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,1,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,1,0
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,1,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,0,1,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,1,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,0,1,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,1,0,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,1,1,0,0,0
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,1,1,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Financial Data Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,1,1,1
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,0,0,1,1,0,0,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,0,0,0,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,1,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,1,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,1,1,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,1,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Business Analyst (General),0,1,0,0,0,0,0,1
Business Intelligence Analysts,Data Analyst,1,0,0,1,1,0,0,1
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,1,0,1
Business Intelligence Analysts,Business Analyst (General),0,0,0,1,0,0,0,0
Business Intelligence Analysts,Data Analyst,1,1,1,1,0,1,0,1
Business Intelligence Analysts,Business Intelligence Analyst,0,1,0,0,0,0,1,1
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,1,1,0,1,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,1,1,1,0
Business Intelligence Analysts,Data Analyst,1,1,0,1,0,0,0,1
Business Intelligence Analysts,Data Analyst,0,1,0,1,0,0,0,0
Business Intelligence Analysts,Business Analyst (General),0,0,0,0,0,1,0,0
Business Intelligence Analysts,Data Analyst,0,0,0,1,0,1,0,1
Business Intelligence Analysts,Business Intelligence Analyst,1,1,0,0,0,0,1,1
Business Intelligence Analysts,Data Analyst,0,0,0,0,0,0,0,1
